门店ID,数据日期,当日销售额,当日订单量
HZW19,2026-08-26,7987.27,107
HZW3,2026-08-26,28431.74,338
HZW5,2026-08-26,16251.72,158
HZW6,2026-08-26,23093.56,318
HZW7,2026-08-26,13785.89,174
HZW8,2026-08-26,8800.48,123
KSW1,2026-08-26,10855.17,111
NBLK1,2026-08-26,5489.18,40
NBW1,2026-08-26,8017.64,87
NBW2,2026-08-26,7906.4,104
NBW5,2026-08-26,5736.68,64
NJBS5,2026-08-26,13970.08,193
NJW10,2026-08-26,14068.46,164
NJW13,2026-08-26,14081.12,169
NJW15,2026-08-26,7129.16,89
NJW16,2026-08-26,8210.6,97
NJW2,2026-08-26,17024.81,230
NJW6,2026-08-26,7773.73,101
NJW7,2026-08-26,3439.14,37
NJW8,2026-08-26,11300.05,140
NJW9,2026-08-26,10475.9,120
QDW1,2026-08-26,22346.25,260
SHBS1,2026-08-26,43993.5,624
SHBS10,2026-08-26,15149.74,222
SHBS11,2026-08-26,10425.72,169
SHBS12,2026-08-26,17163.88,235
SHBS13,2026-08-26,29227.34,385
SHBS14,2026-08-26,19516.35,252
SHBS15,2026-08-26,19888.65,303
SHBS16,2026-08-26,8875.31,128
SHBS17,2026-08-26,17880.35,219
SHBS19,2026-08-26,22375.4,237
SHBS2,2026-08-26,21857.12,312
SHBS21,2026-08-26,17524.51,275
SHBS22,2026-08-26,19112.2,223
SHBS25,2026-08-26,24500.03,416
SHBS26,2026-08-26,21664.75,339
SHBS27,2026-08-26,11340.7,161
SHBS29,2026-08-26,18117.5,230
SHBS32,2026-08-26,23032.74,351
SHBS33,2026-08-26,11142.36,172
SHBS35,2026-08-26,10051.21,143
SHBS36,2026-08-26,55680.8,1
SHBS37,2026-08-26,9159.11,131
SHBS38,2026-08-26,25509.16,287
SHBS39,2026-08-26,14237.55,179
SHBS40,2026-08-26,20115.86,253
SHBS41,2026-08-26,10557.72,144
SHBS43,2026-08-26,10106.7,135
SHBS46,2026-08-26,13975.15,195
SHBS47,2026-08-26,18992.43,250
SHBS48,2026-08-26,17161.12,240
SHBS49,2026-08-26,7070.1,89
SHBS50,2026-08-26,19662.5,241
SHBS51,2026-08-26,11465.83,158
SHBS52,2026-08-26,21503.31,258
SHBS53,2026-08-26,17471.34,166
SHBS55,2026-08-26,11771.05,153
SHBS56,2026-08-26,8158.84,107
SHBS57,2026-08-26,14703.56,250
SHBS61,2026-08-26,10729.98,157
SHBS62,2026-08-26,10528.97,130
SHBS63,2026-08-26,20266.8,279
